Record Length,2000,Points,-17.2000006E-3,40.00000283E-3,,Record Length,2000,Points,-17.2000006E-3,-10.0000007E-3,
Sample Interval,79.999997979E-6,s,-17.1200000E-3,40.00000283E-3,,Sample Interval,79.999997979E-6,s,-17.1200000E-3,-10.0000007E-3,
Trigger Point,215.00001273,Samples,-17.0400012E-3,40.00000283E-3,,Trigger Point,215.00001273,Samples,-17.0400012E-3,-10.0000007E-3,
,,,-16.9600006E-3,40.00000283E-3,,,,,-16.9600006E-3,-50.00000447E-3,
,,,-16.8800000E-3,40.00000283E-3,,,,,-16.8800000E-3,-10.0000007E-3,
,,,-16.8000013E-3,40.00000283E-3,,,,,-16.8000013E-3,-10.0000007E-3,
Source,CH1,,-16.7200007E-3,80.000005662E-3,,Source,CH2,,-16.7200007E-3,-10.0000007E-3,
Vertical Units,V,,-16.6400000E-3,40.00000283E-3,,Vertical Units,V,,-16.6400000E-3,-10.0000007E-3,
Vertical Scale,1.0000001,,-16.5600013E-3,40.00000283E-3,,Vertical Scale,1.0000001,,-16.5600013E-3,-10.0000007E-3,
Vertical Offset,0,,-16.4800007E-3,0.0,,Vertical Offset,0,,-16.4800007E-3,-50.00000447E-3,
Horizontal Units,s,,-16.4000001E-3,40.00000283E-3,,Horizontal Units,s,,-16.4000001E-3,-10.0000007E-3,
Horizontal Scale,15.9999996E-3,,-16.3200013E-3,40.00000283E-3,,Horizontal Scale,15.9999996E-3,,-16.3200013E-3,-10.0000007E-3,
Pt Fmt,Y,,-16.2400007E-3,40.00000283E-3,,Pt Fmt,Y,,-16.2400007E-3,30.00000119E-3,
Yzero,-4.20000000,,-16.1600001E-3,40.00000283E-3,,Yzero,-4.15000000,,-16.1600001E-3,-10.0000007E-3,
,,,-16.0800014E-3,40.00000283E-3,,,,,-16.0800014E-3,-10.0000007E-3,
,,,-16.0000008E-3,80.000005662E-3,,,,,-16.0000008E-3,-10.0000007E-3,
Note,TBS2102B - 5:07:41 PM   8/1/2024,,-15.9200002E-3,80.000005662E-3,,Note,TBS2102B - 5:07:41 PM   8/1/2024,,-15.9200002E-3,-10.0000007E-3,
,,,-15.8400014E-3,40.00000283E-3,,,,,-15.8400014E-3,-10.0000007E-3,
,,,-15.7600008E-3,80.000005662E-3,,,,,-15.7600008E-3,-10.0000007E-3,
,,,-15.6800002E-3,40.00000283E-3,,,,,-15.6800002E-3,-10.0000007E-3,
,,,-15.6000005E-3,40.00000283E-3,,,,,-15.6000005E-3,-10.0000007E-3,
,,,-15.5200008E-3,40.00000283E-3,,,,,-15.5200008E-3,-10.0000007E-3,
,,,-15.4400002E-3,40.00000283E-3,,,,,-15.4400002E-3,-10.0000007E-3,
,,,-15.3600005E-3,80.000005662E-3,,,,,-15.3600005E-3,-10.0000007E-3,
,,,-15.2800009E-3,40.00000283E-3,,,,,-15.2800009E-3,-10.0000007E-3,
,,,-15.2000003E-3,80.000005662E-3,,,,,-15.2000003E-3,-10.0000007E-3,
,,,-15.1200006E-3,40.00000283E-3,,,,,-15.1200006E-3,30.00000119E-3,
,,,-15.0400009E-3,40.00000283E-3,,,,,-15.0400009E-3,-10.0000007E-3,
,,,-14.9600003E-3,40.00000283E-3,,,,,-14.9600003E-3,-10.0000007E-3,
,,,-14.8800006E-3,40.00000283E-3,,,,,-14.8800006E-3,-10.0000007E-3,
,,,-14.8000009E-3,0.0,,,,,-14.8000009E-3,-10.0000007E-3,
,,,-14.7200003E-3,40.00000283E-3,,,,,-14.7200003E-3,-10.0000007E-3,
,,,-14.6400006E-3,40.00000283E-3,,,,,-14.6400006E-3,-10.0000007E-3,
,,,-14.5600010E-3,40.00000283E-3,,,,,-14.5600010E-3,30.00000119E-3,
,,,-14.4800004E-3,40.00000283E-3,,,,,-14.4800004E-3,-10.0000007E-3,
,,,-14.4000007E-3,40.00000283E-3,,,,,-14.4000007E-3,-10.0000007E-3,
,,,-14.3200010E-3,40.00000283E-3,,,,,-14.3200010E-3,-10.0000007E-3,
,,,-14.2400004E-3,80.000005662E-3,,,,,-14.2400004E-3,-10.0000007E-3,
,,,-14.1600007E-3,40.00000283E-3,,,,,-14.1600007E-3,-10.0000007E-3,
,,,-14.0800010E-3,80.000005662E-3,,,,,-14.0800010E-3,-10.0000007E-3,
,,,-14.0000004E-3,40.00000283E-3,,,,,-14.0000004E-3,-10.0000007E-3,
,,,-13.9200008E-3,80.000005662E-3,,,,,-13.9200008E-3,-10.0000007E-3,
,,,-13.8400011E-3,40.00000283E-3,,,,,-13.8400011E-3,-10.0000007E-3,
,,,-13.7600005E-3,40.00000283E-3,,,,,-13.7600005E-3,-10.0000007E-3,
,,,-13.6800008E-3,40.00000283E-3,,,,,-13.6800008E-3,-10.0000007E-3,
,,,-13.6000011E-3,80.000005662E-3,,,,,-13.6000011E-3,-10.0000007E-3,
,,,-13.5200005E-3,40.00000283E-3,,,,,-13.5200005E-3,-10.0000007E-3,
,,,-13.4400008E-3,40.00000283E-3,,,,,-13.4400008E-3,-10.0000007E-3,
,,,-13.3600011E-3,40.00000283E-3,,,,,-13.3600011E-3,-50.00000447E-3,
,,,-13.2800005E-3,40.00000283E-3,,,,,-13.2800005E-3,-10.0000007E-3,
,,,-13.2000009E-3,80.000005662E-3,,,,,-13.2000009E-3,-10.0000007E-3,
,,,-13.1200003E-3,80.000005662E-3,,,,,-13.1200003E-3,-10.0000007E-3,
,,,-13.0400006E-3,80.000005662E-3,,,,,-13.0400006E-3,-10.0000007E-3,
,,,-12.9600009E-3,40.00000283E-3,,,,,-12.9600009E-3,-10.0000007E-3,
,,,-12.8800003E-3,80.000005662E-3,,,,,-12.8800003E-3,-10.0000007E-3,
,,,-12.8000006E-3,40.00000283E-3,,,,,-12.8000006E-3,-10.0000007E-3,
,,,-12.7200009E-3,0.0,,,,,-12.7200009E-3,-10.0000007E-3,
,,,-12.6400003E-3,40.00000283E-3,,,,,-12.6400003E-3,-10.0000007E-3,
,,,-12.5600006E-3,40.00000283E-3,,,,,-12.5600006E-3,-10.0000007E-3,
